region,date,dis,id,catg,target
303,24/10/1981,62,100535,11,0
310,29/12/2009,62,100536,11,0
105,27/4/2004,69,100539,11,0
107,13/10/2012,69,10054,11,0
301,8/5/2015,62,100542,11,0
302,31/7/2009,62,10055,11,0
107,10/7/2006,69,100550,11,0
101,20/2/2009,60,100551,11,0
104,26/11/1987,69,100555,11,0
101,29/11/2004,60,100556,12,0
303,24/9/1987,62,100557,11,0
309,30/4/1985,62,100558,11,0
304,10/11/2015,62,100561,11,0
104,13/6/2016,69,100570,11,0
104,30/5/2011,69,100571,11,0
312,24/9/2010,63,100572,11,0
372,11/3/2014,63,100575,11,0
107,30/5/1978,69,10058,11,0
311,24/9/2012,63,100584,11,0
311,11/12/2014,63,100586,11,0
103,25/1/2014,69,100590,11,1
308,1/8/2009,62,100592,11,0
107,16/12/2016,69,100596,11,0
101,1/9/2006,60,100598,11,0
307,21/1/2014,62,1006,11,0
302,2/5/2008,62,100600,11,0
312,27/10/1989,63,100601,11,0
107,29/8/2016,69,100604,11,0
311,24/6/2016,63,100605,11,0
313,18/10/2012,63,100607,11,1
104,14/2/2007,69,10061,11,0
101,1/6/2012,60,100610,11,0
312,24/5/2014,63,100611,11,0
107,9/3/2001,69,100613,11,0
104,20/5/1997,69,100614,11,0
101,25/8/2014,60,100615,11,0
107,15/8/2013,69,100616,11,0
303,27/2/1982,62,100619,11,0
302,16/5/1996,62,100623,11,0
310,27/11/2007,62,100624,11,0
306,20/11/1996,63,100629,11,0
302,30/6/2004,62,10063,11,0
304,17/2/2015,62,100631,11,0
301,13/11/2010,62,100632,11,0
101,7/12/2008,60,100636,11,0
101,17/4/2008,60,100638,11,0
309,24/10/2015,62,100639,11,0
306,12/12/2011,63,10064,11,0
101,2/2/2010,60,100640,11,0
104,30/4/2014,69,100642,11,0
309,27/6/2008,62,100643,11,0
311,8/3/2016,63,100648,11,0
101,22/10/2014,60,100649,11,0
101,25/12/2007,60,10065,11,0
305,28/9/2012,62,100653,11,0
101,22/4/2015,60,100655,11,0
371,23/9/1994,62,100658,11,0
104,31/12/1993,69,100659,11,0
103,20/2/1979,69,100662,11,0
103,14/8/2010,69,100668,11,0
312,10/12/2011,63,100669,11,0
302,26/12/2002,62,10067,11,0
371,25/10/2017,62,100670,11,0
105,25/9/2013,69,100674,11,0
104,28/5/2012,69,100678,11,0
101,29/11/2017,60,100681,11,0
311,23/3/2017,63,100684,11,0
101,9/9/1993,60,100685,11,0
311,1/12/2012,63,100686,11,0
303,18/2/2008,62,100688,11,0
312,22/1/2018,63,100689,11,0
311,24/7/2013,63,10069,11,1
306,30/12/2015,63,100690,11,0
309,17/3/2012,62,100692,11,0
310,16/6/2011,62,100696,11,0
101,29/1/2008,60,100697,11,0
312,24/12/1993,63,100699,11,1
107,16/7/2013,69,10070,11,0
307,15/4/1983,62,100700,11,0
302,8/12/2014,62,100702,11,0
311,14/5/2002,63,100704,11,0
305,25/10/1999,62,100705,11,0
101,18/9/2009,60,10071,11,0
104,24/12/2008,69,100714,11,0
101,5/4/2010,60,100715,11,0
312,8/12/2014,63,100716,11,0
101,8/12/1995,60,100720,12,0
101,5/10/2011,60,100724,11,0
309,23/11/2004,62,100725,11,0
302,14/4/2014,62,100728,11,0
309,10/7/2012,62,100730,12,0
101,8/7/2014,60,100735,11,0
101,22/3/2010,63,100737,11,0
107,9/8/2014,69,100738,11,0
302,3/8/2015,62,100740,11,0
307,25/10/2006,62,100741,11,0
312,2/12/2011,63,100743,11,0
371,10/10/2011,62,100744,11,0
307,10/3/2008,62,100749,11,0
107,28/6/1988,69,100750,11,0
303,27/10/2007,62,100752,11,0
302,19/9/2015,62,100754,11,0
399,14/10/1982,63,100756,11,0
305,28/12/1994,62,100759,11,0
104,14/6/2002,69,100769,11,0
311,4/2/2016,63,100776,11,0
101,15/6/2015,60,10078,11,0
103,4/7/2015,69,100786,11,0
106,9/5/2016,69,100789,11,0
101,24/12/2002,60,100793,11,0
305,26/3/2012,62,100794,11,0
311,3/8/2000,63,100796,11,0
311,26/3/2014,63,1008,11,0
101,6/11/2013,60,10080,11,0
107,31/5/2007,69,100800,11,0
101,30/11/2000,60,100802,11,0
101,23/12/2013,60,100805,11,0
101,28/12/2015,60,100808,11,0
103,1/4/2005,69,100809,11,0
306,20/11/2015,63,100810,11,0
101,16/11/2000,60,100812,11,0
306,10/12/2016,63,100814,11,0
310,30/9/1999,62,100815,11,0
301,7/6/2013,62,100816,11,0
107,7/11/2016,69,10082,11,0
103,29/11/2016,69,100821,11,0
101,4/11/2008,60,100823,11,0
101,1/3/2005,60,100826,11,0
305,27/1/2012,62,100827,11,0
101,11/9/1990,60,10083,11,0
312,17/7/2013,63,100830,12,0
101,16/4/1998,60,100832,11,0
303,7/7/2014,62,100835,11,0
104,27/1/1986,69,10084,11,0
101,23/7/2013,60,100840,11,0
307,5/5/2005,62,100841,11,0
104,27/4/2009,69,100842,11,0
311,7/5/2015,63,100845,11,0
101,15/4/2010,60,100846,11,0
305,19/7/2011,62,100847,11,0
310,15/1/2016,62,100849,11,0
101,28/7/2011,60,10085,11,0
101,2/4/2010,60,100853,11,0
310,31/8/2001,62,100858,11,0
307,2/8/2014,62,100860,11,0
101,3/12/2014,60,100865,11,0
107,26/11/1987,69,100866,11,0
302,2/4/2015,62,100868,11,0
107,24/10/2013,69,100869,11,0
301,29/10/2008,62,100875,11,0
312,19/10/2016,63,100877,11,0
101,7/8/2009,60,100878,11,0
310,23/5/1995,62,100880,11,0
104,25/5/2001,69,100881,11,0
101,27/9/1991,60,100886,11,0
371,17/10/2008,62,100887,11,0
107,15/6/2016,69,100891,11,0
107,11/3/2014,69,100892,11,0
304,2/11/2012,62,100893,11,0
302,2/6/2016,62,100894,11,0
302,3/12/2009,62,100896,11,1
107,4/4/2015,69,100897,11,0
307,8/9/1979,62,10090,11,0
103,27/12/2010,69,100901,11,1
307,18/5/1984,62,10091,11,0
306,28/6/1979,63,100914,11,0
312,2/6/2014,63,100920,11,0
104,25/5/1998,69,100923,11,0
303,28/11/2006,62,100924,11,0
101,26/3/1997,60,100926,11,0
301,19/1/2010,62,100930,11,0
104,30/4/2014,69,100931,11,0
101,5/11/2002,60,100933,11,0
301,3/6/1987,62,10094,11,1
313,17/2/2015,63,100942,11,0
305,10/5/2011,62,100943,11,0
302,31/12/2016,62,100944,11,0
103,16/10/2012,69,100945,11,0
107,20/8/1986,69,100947,12,0
311,7/6/2002,63,100948,11,0
103,23/11/2012,69,100951,11,0
101,19/6/1980,60,100952,11,0
104,17/3/2014,69,100953,11,0
311,11/2/2014,63,100956,11,1
310,28/9/2016,62,100960,11,0
101,31/8/1990,60,100966,12,0
311,13/4/2011,63,100967,11,0
104,4/5/1988,69,100969,11,0
103,25/12/2010,69,100978,11,0
303,7/2/2011,62,100984,11,0
103,15/7/2011,69,100990,11,0
310,29/6/2015,62,100993,11,0
101,24/3/2010,60,100994,11,0
101,30/11/2012,60,100996,11,0
303,28/1/2015,62,100999,11,0
103,25/2/2016,69,1010,11,1
310,23/5/2005,62,101001,11,0
101,12/11/2013,60,101006,11,0
101,4/5/1994,60,101008,11,0
101,13/2/2012,60,101014,11,0
103,27/9/1994,69,101019,11,0
101,16/7/2015,60,101020,11,0
101,16/4/2013,60,101023,11,0
101,17/10/2007,60,101026,11,0
309,13/1/2010,62,101027,11,0
101,16/8/1989,60,10103,11,0
310,18/7/2017,62,101030,11,0
310,22/6/2015,62,101031,11,0
101,1/4/2013,60,101032,12,0
309,31/3/2016,62,10104,11,0
311,20/11/2006,63,101040,11,0
304,21/10/2014,62,101048,11,0
101,11/11/2013,60,101049,11,0
307,23/1/2013,62,10105,11,0
302,15/10/2008,62,101053,11,0
101,15/12/1986,60,101054,11,0
101,23/6/1995,60,101055,11,0
104,4/7/2013,69,101059,11,0
303,21/1/2002,62,10106,12,0
104,13/11/2010,69,101062,11,0
101,18/2/2009,60,101063,11,0
303,13/10/2008,62,101065,11,0
101,27/7/2001,60,101067,11,0
101,16/5/2012,60,101068,11,0
101,5/2/2007,60,101071,11,0
104,16/4/1977,69,101073,11,0
311,30/4/2016,63,101074,11,0
313,11/2/2013,63,101080,11,0
312,11/4/1990,63,101083,11,1
307,21/3/2014,62,101084,11,0
104,28/5/2014,69,101085,11,0
310,3/12/1996,62,101089,11,0
107,13/12/1993,69,101090,11,0
310,5/10/2017,62,101092,11,0
310,3/8/2017,62,101093,11,0
307,5/12/1991,62,101094,11,0
107,5/12/2014,69,101096,11,0
101,5/1/2017,60,101098,11,0
101,2/12/1993,60,101099,11,0
310,14/9/1993,62,101100,11,0
107,18/4/2017,69,101102,11,0
310,11/7/2017,62,101103,11,0
303,30/11/2000,62,101106,12,0
307,1/7/2015,62,101108,11,0
371,4/11/2015,62,101111,11,0
311,5/12/2009,63,101112,11,0
103,27/7/2017,69,101116,11,0
311,2/11/2013,63,101118,11,0
101,10/1/2014,60,101120,11,0
371,23/5/1995,62,101124,11,0
104,17/11/2016,69,101127,11,0
101,14/10/2016,60,101130,11,0
101,18/10/2016,60,101133,11,0
105,20/5/2005,69,101136,11,0
107,20/11/2015,69,101138,11,0
101,18/4/2008,60,101139,11,0
305,24/3/2011,62,101141,11,0
104,1/7/2015,69,101143,11,0
101,7/3/1988,60,101144,11,0
103,29/1/2014,69,101145,11,0
101,28/10/1985,60,101147,11,0
303,6/4/2017,62,101148,11,0
101,31/5/2011,60,101155,11,0
301,15/2/2010,62,101156,11,1
101,5/2/1990,60,101160,11,0
309,30/11/2010,62,101162,12,1
307,18/6/2011,62,101164,11,0
104,26/12/2011,69,101165,11,0
312,16/11/2015,63,101167,11,0
107,13/12/2011,69,101170,11,0
372,26/2/2013,63,101175,11,0
309,18/11/2016,62,101177,11,0
311,9/2/2015,63,101179,11,0
104,23/7/2002,69,101180,11,0
101,20/11/2012,60,101181,11,0
303,2/1/2008,62,101186,11,0
303,27/9/2011,62,101191,11,0
311,30/10/2009,63,101193,11,0
310,26/9/2000,62,101196,11,0
372,30/12/1995,63,101198,11,0
307,20/11/2000,62,101199,11,0
307,21/6/2014,62,1012,11,0
311,17/2/2016,63,101200,11,0
101,18/11/2004,60,101202,11,0
101,17/12/2012,60,101204,11,0
104,20/9/2012,69,101215,11,0
104,26/6/1995,69,101219,11,0
101,24/9/2010,60,10122,11,0
103,9/11/2015,69,101224,11,0
311,2/4/2012,63,101227,11,0
303,16/11/2013,62,101232,11,0
107,3/11/2014,69,101233,11,0
379,9/12/2010,63,101238,11,0
311,22/9/2015,63,10124,11,0
306,28/5/2015,63,101241,11,0
104,20/2/2009,69,101243,11,0
310,18/6/2011,62,101247,11,0
104,18/12/1995,69,101249,11,0
103,1/6/2000,69,101251,11,0
104,19/8/2008,69,101252,11,0
103,30/6/2004,69,101253,11,0
306,26/9/2002,63,101254,12,0
399,18/4/1981,63,101257,11,0
105,26/5/2015,69,101258,11,0
311,8/2/2017,63,10126,11,0
311,19/9/2013,63,101262,11,0
101,20/10/2008,60,101263,11,0
311,26/6/2009,63,101265,11,0
101,26/7/2011,60,101266,11,0
101,24/8/2007,60,101268,11,0
104,16/6/2015,69,101269,11,0
311,3/2/2015,63,10127,11,0
307,31/3/2010,62,101271,11,0
311,15/6/2009,63,101272,11,0
101,1/10/2004,60,101273,11,0
107,25/12/2017,69,101274,11,0
104,10/8/2009,69,101276,11,0
313,21/11/1995,63,101279,11,0
101,30/12/2013,60,101280,11,0
103,28/5/2012,69,101286,11,0
101,12/1/2015,60,101287,11,0
309,29/3/2014,62,101288,11,0
311,4/12/2013,63,101291,11,0
311,24/11/2014,63,101295,11,0
107,4/7/2015,69,101296,11,0
101,24/10/2013,60,101297,11,0
305,11/2/2008,62,101298,11,0
104,10/3/2013,69,101299,11,0
107,4/12/2010,69,1013,11,0
104,1/12/1980,69,10130,11,0
304,13/3/2001,62,101300,11,0
101,16/6/2008,60,101302,11,0
101,25/12/2013,60,101303,11,0
302,15/11/2013,62,101304,11,0
101,13/2/2015,60,101308,11,0
311,27/8/2016,63,101309,11,0
311,26/4/2011,63,101311,11,0
104,16/3/2012,69,101312,11,0
371,4/4/2005,62,101317,11,0
103,28/10/2017,69,101319,11,0
107,25/9/2010,69,10132,11,0
104,9/10/2008,69,101321,11,0
101,17/11/1977,60,101322,11,0
379,28/12/2011,63,101324,11,0
101,7/11/2016,60,101328,11,0
101,19/8/2014,63,101330,11,0
311,23/10/2015,63,101334,11,1
101,23/11/2009,60,101337,11,0
313,21/5/2009,63,101341,11,0
101,13/7/2015,60,101342,11,0
107,28/1/2014,69,101345,11,0
101,11/12/2007,60,101346,11,0
306,26/9/1989,63,101348,11,0
311,16/12/2014,63,101351,11,0
101,15/12/2008,60,101352,11,0
101,17/3/1979,60,101354,11,0
306,9/2/2017,63,101355,11,0
104,7/5/2014,69,101357,11,0
309,23/10/2017,62,101360,11,0
301,1/8/1984,62,101361,11,0
101,29/12/2012,60,101368,11,0
101,9/7/1999,60,101370,11,0
311,29/12/2000,63,101371,11,0
101,13/12/1989,60,101376,12,0
103,18/8/2016,69,101379,11,0
105,8/12/2014,69,101380,11,0
104,15/4/2009,69,101381,11,0
101,31/8/2015,60,101390,11,0
312,21/12/1995,63,101392,11,0
101,22/4/1977,60,101393,11,0
104,27/10/1980,69,101395,11,0
104,12/12/2013,69,101399,11,0
101,11/10/2017,60,10140,11,0
307,14/4/1995,62,101400,11,0
101,27/4/2015,60,101403,11,0
303,25/10/2010,62,101404,11,0
101,1/3/2006,60,101406,11,0
103,8/7/2013,69,101410,11,0
301,2/3/2015,62,101411,11,0
104,10/6/2015,69,101412,11,0
311,24/1/2017,63,101413,11,0
312,18/11/2013,63,101415,11,0
101,8/6/2012,60,10142,11,0
105,6/3/2017,69,101426,11,0
302,9/8/2017,62,101429,11,0
101,31/12/1994,63,101430,11,0
310,26/8/2017,62,101431,11,0
104,3/8/2010,69,101434,11,0
311,26/5/1987,63,101435,11,0
101,29/10/2013,60,10144,11,0
101,26/6/2007,60,101441,11,0
311,25/3/2014,63,101443,11,0
310,31/1/2002,62,101447,11,0
104,9/1/2007,69,101448,11,0
103,6/9/2011,69,101449,11,0
313,18/5/2016,63,101455,11,0
101,18/10/2016,60,101458,11,0
101,25/6/1992,60,101460,11,0
309,7/12/2017,62,101470,11,0
101,18/5/2011,60,101471,11,0
103,15/9/1997,69,101472,11,0
107,28/12/2015,69,101476,11,0
101,17/10/2008,60,101477,11,0
372,13/6/1990,63,101486,11,1
101,6/11/1995,60,101489,11,0
307,16/11/2016,62,101490,11,0
371,21/2/2011,62,101491,11,0
101,13/12/2012,60,101492,11,0
107,9/10/1996,69,101493,11,0
310,8/7/2015,62,101494,11,0
311,5/10/2016,63,101498,11,1
301,12/4/2010,62,101500,11,0
104,8/8/2018,69,101501,11,0
306,28/6/1982,63,101502,11,0
303,3/5/2016,62,101505,11,0
101,14/11/2011,60,101506,11,1
107,12/11/2013,69,101510,11,0
306,15/4/2017,63,101512,11,0
311,7/7/2011,63,101514,11,0
312,7/5/2002,63,101515,11,0
101,10/8/1981,60,101520,11,0
301,10/9/2008,62,101522,11,0
371,11/2/2008,62,101527,11,0
301,23/1/2018,62,101528,11,0
104,16/8/2012,69,101530,11,0
104,19/4/2017,69,101533,11,0
104,26/4/2010,69,101535,11,0
104,11/11/2010,69,101536,11,0
101,1/11/2016,60,101539,11,0
101,11/11/2008,60,10154,11,0
303,25/10/2011,62,101544,11,0
311,8/10/2015,63,101545,11,0
101,30/12/2013,60,101546,11,0
310,30/4/2011,62,101550,11,0
303,4/3/2008,62,101552,11,0
101,13/2/2018,60,101556,11,0
103,29/11/2011,69,101557,11,0
103,6/8/2009,69,10156,11,0
307,30/6/1999,62,101562,11,0
304,16/4/2009,62,101564,11,0
312,15/3/2014,63,101568,11,0
107,20/9/2006,69,10157,11,0
101,29/5/2012,63,101571,11,1
302,3/11/2017,62,101574,11,0
310,28/6/1988,62,10158,11,0
310,26/8/2011,62,101582,11,0
101,16/10/2000,60,101584,11,0
103,29/5/2012,69,101585,11,0
105,3/10/2009,69,10159,11,0
101,19/3/1977,60,101590,11,0
104,16/5/2013,69,101592,11,0
301,14/10/1982,62,101593,11,0
101,20/11/2007,60,101597,11,0
303,18/10/2016,62,101599,11,0
101,5/6/2009,60,101604,11,1
103,10/9/2004,69,101605,11,0
101,13/11/1980,60,101606,11,0
303,13/2/2007,62,101608,11,0
101,22/4/1978,60,101612,11,0
310,18/8/1988,62,101615,11,0
311,13/5/2014,63,101624,11,0
104,28/2/1995,69,101631,11,0
311,28/4/2016,63,101632,11,0
104,15/3/2012,69,101633,11,0
307,31/8/2009,62,101638,11,0
302,6/12/1977,62,101641,11,0
311,13/12/1994,63,101646,11,0
301,26/7/1979,62,101648,11,0
311,15/7/2017,63,101649,11,0
301,17/1/2018,62,101650,11,0
307,10/9/2012,62,101653,11,0
310,8/8/2017,62,101654,11,0
101,26/2/2013,60,101655,11,0
304,19/11/2012,62,101656,11,0
101,17/3/2006,60,101658,11,0
311,8/10/2015,63,101660,11,0
303,19/6/2000,62,101668,11,0
107,12/2/2009,69,101670,11,0
308,17/2/2016,63,101671,11,0
104,26/11/1981,69,101672,11,0
310,14/12/2015,62,101674,11,0
312,22/1/2013,63,101675,11,0
104,7/11/2013,69,101676,11,0
101,5/6/2001,60,101682,11,0
104,25/3/2016,69,101684,11,1
104,30/6/1989,69,101686,11,0
371,5/12/2011,62,10169,11,0
306,24/10/2015,63,101691,11,0
310,3/10/2016,62,101699,11,0
301,7/5/2014,62,10170,11,0
101,24/10/1983,60,101702,12,0
309,28/12/2016,62,101705,11,0
101,10/1/2014,60,101707,11,0
104,3/11/2014,69,101708,11,0
312,4/4/2016,63,101709,11,0
309,19/3/2011,62,101711,11,0
301,23/12/2010,62,101712,11,0
107,28/1/1985,69,101718,11,1
371,5/9/2013,62,10172,11,0
307,30/12/1987,62,101723,11,0
104,27/6/2007,69,101728,11,0
310,26/12/2012,62,101729,11,0
304,15/4/1988,62,10173,11,0
302,15/8/2014,62,101730,12,1
101,27/12/2013,60,101732,11,0
103,24/7/2018,69,101738,11,0
304,16/9/2013,62,101741,11,0
105,28/2/2003,69,101742,11,0
101,23/12/2014,60,101748,11,0
103,16/3/2013,69,101749,11,0
312,12/12/2009,63,101751,11,0
101,5/2/2009,60,101753,11,0
105,29/8/1994,69,101755,11,0
379,26/12/2016,63,101756,11,0
310,11/6/2016,62,101757,11,0
307,28/5/2002,62,101759,11,0
301,30/8/2017,62,101760,11,0
101,3/8/2016,60,101761,11,0
371,22/6/1987,62,101762,11,0
311,4/6/2015,63,101764,11,0
104,2/4/1991,69,101765,11,0
311,27/9/2016,63,101767,11,0
101,1/6/2015,60,101774,11,0
305,7/7/2012,62,101778,11,0
101,27/12/2002,60,101782,11,0
106,16/8/2011,69,101783,11,0
302,22/11/2010,62,101785,11,0
311,7/5/2002,63,101788,12,0
104,23/3/2012,69,101789,11,0
101,21/8/1995,60,101792,11,0
103,17/2/2014,69,101793,11,0
312,29/10/2011,63,101797,11,0
107,25/3/2002,69,10180,11,0
310,11/5/2009,62,101800,11,0
101,23/11/1987,60,101801,11,0
107,20/8/2013,69,101803,11,0
104,12/10/2006,69,101805,11,0
104,10/7/2002,69,101813,11,0
104,16/11/2011,69,101825,11,0
311,8/9/1992,63,101828,11,0
104,10/4/2014,69,101830,11,1
303,11/1/2008,62,101831,11,0
107,12/5/2015,69,101832,11,0
309,18/4/1985,62,101834,11,0
